customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn,avg_monthly_spend,spend_trend_ratio,service_count,streaming_count,has_protection_bundle,is_month_to_month,is_electronic_check,is_auto_payment,is_new_customer,family_account,tenure_bucket,charge_per_service,revenue_at_risk_annual
0022-TCJCI,Male,1,No,No,45,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),62.7,2791.5,1,62.03,1.011,5,1,0,0,0,1,0,0,2-4y,12.54,752.4
0023-HGHWL,Male,1,No,No,1,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.1,25.1,1,25.1,1.0,1,0,0,1,1,0,1,0,0-6m,25.1,301.2
0023-UYUPN,Female,1,Yes,No,50,Yes,Yes,No,No,No,No,No,No,No,One year,No,Electronic check,25.2,1306.3,0,26.13,0.965,2,0,0,0,1,0,0,1,4y+,12.6,302.4
0023-XUOPT,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,94.1,1215.6,1,93.51,1.006,6,1,0,1,1,0,0,1,1-2y,15.68,1129.2
0027-KWYKW,Female,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.75,1849.95,0,80.43,1.041,4,1,0,1,1,0,0,1,1-2y,20.94,1005.0
0030-FNXPP,Female,0,No,No,3,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.85,57.2,0,19.07,1.041,1,0,0,1,0,0,1,0,0-6m,19.85,238.2
0031-PVLZI,Female,0,Yes,Yes,4,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.35,76.35,1,19.09,1.066,1,0,0,1,0,0,1,1,0-6m,20.35,244.2
0032-PGELS,Female,0,Yes,Yes,1,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),30.5,30.5,1,30.5,1.0,2,0,0,1,0,1,1,1,0-6m,15.25,366.0
0036-IHMOT,Female,0,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),103.7,5656.75,0,102.85,1.008,7,2,0,0,0,1,0,1,4y+,14.81,1244.4
0040-HALCW,Male,0,Yes,Yes,54,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),20.4,1090.6,0,20.2,1.01,1,0,0,0,0,1,0,1,4y+,20.4,244.8
0042-JVWOJ,Male,0,No,No,26,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),19.6,471.85,0,18.15,1.08,1,0,0,0,0,1,0,0,2-4y,19.6,235.2
0042-RLHYP,Female,0,Yes,Yes,69,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),19.7,1396.9,0,20.24,0.973,1,0,0,0,0,1,0,1,4y+,19.7,236.4
0048-LUMLS,Male,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.2,3247.55,0,87.77,1.039,4,2,0,0,0,1,0,1,2-4y,22.8,1094.4
0048-PIHNL,Female,0,Yes,No,49,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),20.45,900.9,0,18.39,1.112,1,0,0,0,0,1,0,1,4y+,20.45,245.4
0052-DCKON,Male,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),115.8,7942.15,0,120.34,0.962,9,2,1,0,0,1,0,1,4y+,12.87,1389.6
0052-YNYOT,Female,0,No,No,67,Yes,No,No,No,No,No,No,No,No,One year,No,Electronic check,20.55,1343.4,0,20.05,1.025,1,0,0,0,1,0,0,0,4y+,20.55,246.6
0056-EPFBG,Male,0,Yes,Yes,20,No,No,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),39.4,825.4,0,41.27,0.955,4,0,1,0,0,1,0,1,1-2y,9.85,472.8
0057-QBUQH,Female,0,No,Yes,43,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Electronic check,25.1,1070.15,0,24.89,1.009,2,0,0,0,1,0,0,1,2-4y,12.55,301.2
0058-EVZWM,Female,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.8,4959.6,0,90.17,0.996,5,1,0,1,0,1,0,1,4y+,17.96,1077.6
0060-FUALY,Female,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.75,5597.65,0,94.88,0.999,6,1,0,1,1,0,0,1,4y+,15.79,1137.0
0064-SUDOG,Female,0,Yes,Yes,12,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.3,224.5,0,18.71,1.085,1,0,0,0,0,1,0,1,7-12m,20.3,243.6
0064-YIJGF,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.75,1929.0,0,71.44,1.06,3,0,0,1,0,1,0,1,2-4y,25.25,909.0
0067-DKWBL,Male,1,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.25,91.1,1,45.55,1.081,3,0,0,1,1,0,1,0,0-6m,16.42,591.0
0068-FIGTF,Female,0,No,No,27,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,78.2,2078.95,0,77.0,1.016,7,2,0,0,0,0,0,0,2-4y,11.17,938.4
0071-NDAFP,Male,0,Yes,Yes,25,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),25.5,630.6,0,25.22,1.011,2,0,0,0,0,1,0,1,2-4y,12.75,306.0
0074-HDKDG,Male,0,Yes,Yes,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),61.6,1611.0,0,64.44,0.956,5,0,0,0,0,1,0,1,2-4y,12.32,739.2
0076-LVEPS,Male,0,No,Yes,29,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,45.0,1242.45,0,42.84,1.05,5,0,1,1,0,0,0,1,2-4y,9.0,540.0
0078-XZMHT,Male,0,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.15,6316.2,0,87.72,0.971,8,2,0,0,0,1,0,1,4y+,10.64,1021.8
0080-EMYVY,Female,0,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),51.45,727.85,0,51.99,0.99,3,0,0,0,0,1,0,0,1-2y,17.15,617.4
0080-OROZO,Female,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.25,3532.0,0,100.91,0.984,6,2,0,0,1,0,0,0,2-4y,16.54,1191.0
0082-LDZUE,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.3,44.3,0,44.3,1.0,2,0,0,1,0,0,1,0,0-6m,22.15,531.6
0082-OQIQY,Male,0,No,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,2607.6,0,89.92,1.048,5,2,0,1,1,0,0,0,2-4y,18.84,1130.4
0083-PIVIK,Male,0,No,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,81.25,5567.55,0,86.99,0.934,8,1,1,0,1,0,0,0,4y+,10.16,975.0
0089-IIQKO,Female,0,Yes,Yes,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.95,3767.4,0,96.6,1.035,6,2,0,1,0,1,0,1,2-4y,16.66,1199.4
0093-EXYQL,Female,1,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.55,3673.6,0,91.84,0.997,4,2,0,1,1,0,0,0,2-4y,22.89,1098.6
0093-XWZFY,Male,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.5,4036.85,1,100.92,1.035,7,2,0,1,0,1,0,0,2-4y,14.93,1254.0
0094-OIFMO,Female,1,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,1,101.85,0.933,5,2,0,1,1,0,0,0,7-12m,19.0,1140.0
0096-BXERS,Female,0,Yes,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,50.35,314.55,0,52.43,0.96,3,0,0,1,1,0,1,1,0-6m,16.78,604.2
0096-FCPUF,Male,0,No,No,30,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,64.5,1888.45,0,62.95,1.025,5,1,0,1,0,0,0,0,2-4y,12.9,774.0
0098-BOWSO,Male,0,No,No,27,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.4,529.8,0,19.62,0.989,1,0,0,1,1,0,0,0,2-4y,19.4,232.8
0100-DUVFC,Male,1,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.8,7308.95,0,104.41,1.004,7,2,0,0,1,0,0,1,4y+,14.97,1257.6
0103-CSITQ,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),109.4,6252.7,0,109.7,0.997,8,2,0,0,0,1,0,1,4y+,13.68,1312.8
0104-PPXDV,Male,0,Yes,No,58,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),50.3,2878.55,0,49.63,1.013,3,0,0,0,0,1,0,1,4y+,16.77,603.6
0106-GHRQR,Male,0,No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.4,1212.1,0,75.76,0.942,6,1,0,1,0,1,0,0,1-2y,11.9,856.8
0106-UGRDO,Female,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,116.0,8182.85,0,118.59,0.978,9,2,1,0,1,0,0,1,4y+,12.89,1392.0
0107-WESLM,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.85,19.85,1,19.85,1.0,1,0,0,1,1,0,1,0,0-6m,19.85,238.2
0107-YHINA,Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.75,99.75,1,99.75,1.0,6,2,0,1,1,0,1,1,0-6m,16.63,1197.0
0111-KLBQG,Male,1,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,93.95,2861.45,0,89.42,1.051,5,2,0,1,0,0,0,1,2-4y,18.79,1127.4
0112-QAWRZ,Male,0,Yes,Yes,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),90.8,1442.2,0,90.14,1.007,5,1,0,1,0,1,0,1,1-2y,18.16,1089.6
0112-QWPNC,Male,0,Yes,No,49,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,84.35,4059.35,1,82.84,1.018,8,2,1,0,1,0,0,1,4y+,10.54,1012.2
0114-IGABW,Female,0,Yes,No,71,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),58.25,4145.9,0,58.39,0.998,6,2,0,0,0,1,0,1,4y+,9.71,699.0
0114-PEGZZ,Female,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,107.55,3645.5,0,110.47,0.974,7,2,0,1,1,0,0,0,2-4y,15.36,1290.6
0114-RSRRW,Female,0,Yes,No,10,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),19.95,187.75,0,18.77,1.063,1,0,0,1,0,1,0,1,7-12m,19.95,239.4
0115-TFERT,Male,0,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.2,2317.1,1,110.34,1.008,8,2,0,1,1,0,0,1,1-2y,13.9,1334.4
0117-LFRMW,Male,0,Yes,Yes,37,No,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),40.2,1448.8,1,39.16,1.027,4,0,0,1,0,1,0,1,2-4y,10.05,482.4
0118-JPNOY,Female,1,No,No,26,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.8,2193.65,0,84.37,1.017,4,1,0,1,0,1,0,0,2-4y,21.45,1029.6
0121-SNYRK,Male,0,No,No,50,No,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,35.4,1748.9,0,34.98,1.012,3,0,1,0,0,0,0,0,4y+,11.8,424.8
0122-OAHPZ,Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,1,73.04,1.011,3,0,0,1,1,0,0,0,7-12m,24.62,886.2
0123-CRBRT,Female,0,Yes,Yes,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,88.1,5526.75,0,90.6,0.972,9,2,1,0,0,0,0,1,4y+,9.79,1057.2
0125-LZQXK,Male,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.35,1553.95,1,103.6,0.978,6,2,0,1,1,0,0,0,1-2y,16.89,1216.2
0128-MKWSG,Female,0,No,Yes,26,No,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,45.8,1147.0,0,44.12,1.038,4,1,1,1,0,0,0,1,2-4y,11.45,549.6
0129-KPTWJ,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.65,6747.35,0,93.71,1.01,5,2,0,1,1,0,0,1,4y+,18.93,1135.8
0129-QMPDR,Male,0,Yes,Yes,44,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),20.5,865.05,0,19.66,1.043,1,0,0,0,0,1,0,1,2-4y,20.5,246.0
0130-SXOUN,Male,0,No,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),89.4,5976.9,0,90.56,0.987,5,1,0,1,0,1,0,0,4y+,17.88,1072.8
0133-BMFZO,Female,0,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,86.25,181.65,1,90.83,0.95,5,0,1,1,1,0,1,0,0-6m,17.25,1035.0
0134-XWXCE,Female,1,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),74.85,3268.05,0,74.27,1.008,6,2,0,0,0,1,0,0,2-4y,12.47,898.2
0135-NMXAP,Female,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.75,1052.4,1,87.7,1.023,5,1,0,1,0,1,0,0,7-12m,17.95,1077.0
0136-IFMYD,Male,1,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,109.95,7634.25,0,110.64,0.994,8,2,0,0,1,0,0,1,4y+,13.74,1319.4
0137-OCGAB,Female,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,80.2,80.2,1,80.2,1.0,4,0,0,1,0,0,1,0,0-6m,20.05,962.4
0137-UDEUO,Female,0,No,No,3,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.85,63.75,1,21.25,0.934,1,0,0,1,0,0,1,0,0-6m,19.85,238.2
0139-IVFJG,Female,0,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,90.35,190.5,0,95.25,0.949,5,1,0,1,1,0,1,1,0-6m,18.07,1084.2
0141-YEAYS,Female,1,No,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),86.45,2401.05,0,88.93,0.972,5,0,0,1,0,1,0,0,2-4y,17.29,1037.4
0142-GVYSN,Male,0,No,No,26,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,20.3,511.25,0,19.66,1.032,1,0,0,1,1,0,0,0,2-4y,20.3,243.6
0147-ESWWR,Female,1,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.25,3949.15,0,101.26,1.0,6,2,0,1,1,0,0,1,2-4y,16.88,1215.0
0148-DCDOS,Male,0,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.7,2362.1,1,94.48,1.002,5,2,0,1,0,1,0,0,2-4y,18.94,1136.4
0151-ONTOV,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.9,70.9,1,70.9,1.0,2,0,0,1,0,0,1,0,0-6m,35.45,850.8
0156-FVPTA,Male,0,Yes,No,22,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,54.2,1152.7,1,52.4,1.034,4,0,1,1,1,0,0,1,1-2y,13.55,650.4
0164-APGRB,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,114.9,8496.7,0,118.01,0.974,9,2,1,0,1,0,0,0,4y+,12.77,1378.8
0164-XAIRP,Female,0,No,No,24,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),19.55,470.2,0,19.59,0.998,1,0,0,0,0,1,0,0,1-2y,19.55,234.6
0168-XZKBB,Female,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.85,1564.4,0,82.34,1.055,4,1,0,1,1,0,0,1,1-2y,21.71,1042.2
0174-QRVVY,Male,0,Yes,Yes,71,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),25.35,1847.55,0,26.02,0.974,2,0,0,0,0,1,0,1,4y+,12.68,304.2
0177-PXBAT,Male,1,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.9,3694.7,0,111.96,0.982,8,2,1,1,0,1,0,1,2-4y,13.74,1318.8
0178-CIIKR,Female,0,No,No,3,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.95,58.0,0,19.33,1.032,1,0,0,1,0,0,1,0,0-6m,19.95,239.4
0178-SZBHO,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,87.2,4017.45,0,85.48,1.02,5,1,0,1,1,0,0,1,2-4y,17.44,1046.4
0181-RITDD,Male,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,108.15,6825.65,0,110.09,0.982,8,2,1,0,0,0,0,1,4y+,13.52,1297.8
0186-CAERR,Male,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),116.3,8309.55,0,117.04,0.994,9,2,1,0,0,1,0,0,4y+,12.92,1395.6
0187-QSXOE,Male,1,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.0,605.45,0,86.49,1.029,4,2,0,1,1,0,0,1,7-12m,22.25,1068.0
0187-WZNAB,Female,0,Yes,Yes,27,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,74.4,1972.35,0,73.05,1.018,3,0,0,1,0,0,0,1,2-4y,24.8,892.8
0188-GWFLE,Male,0,No,No,2,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.05,33.7,0,16.85,1.19,1,0,0,1,0,0,1,0,0-6m,20.05,240.6
0191-EQUUH,Female,0,No,Yes,25,No,No,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),35.05,844.45,0,33.78,1.038,3,0,1,0,0,1,0,1,2-4y,11.68,420.6
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,70.38,1.062,6,2,0,1,1,0,0,0,2-4y,12.46,897.0
0193-ESZXP,Female,1,Yes,No,58,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),105.5,6205.5,1,106.99,0.986,7,2,1,0,0,1,0,1,4y+,15.07,1266.0
0195-IESCP,Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.25,855.3,1,85.53,0.997,4,1,0,1,1,0,0,1,7-12m,21.31,1023.0
0196-JTUQI,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.2,633.85,0,70.43,1.068,3,0,0,1,0,1,0,0,7-12m,25.07,902.4
0196-VULGZ,Female,1,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.35,474.9,1,79.15,1.066,4,1,0,1,1,0,1,1,0-6m,21.09,1012.2
0197-PNKNK,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),84.45,5848.6,0,84.76,0.996,5,0,0,0,0,1,0,1,4y+,16.89,1013.4
0201-MIBOL,Female,1,No,No,66,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),102.4,6471.85,0,98.06,1.044,6,2,0,0,0,1,0,0,4y+,17.07,1228.8
0201-OAMXR,Female,0,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),115.55,8127.6,1,116.11,0.995,9,2,1,0,0,1,0,0,4y+,12.84,1386.6
0203-HHYIJ,Male,0,No,No,25,Yes,Yes,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),25.3,676.35,1,27.05,0.935,2,0,0,0,0,1,0,0,2-4y,12.65,303.6
0206-OYVOC,Female,0,Yes,Yes,46,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,19.25,864.2,0,18.79,1.025,1,0,0,0,0,0,0,1,2-4y,19.25,231.0
